entityId;key;ts;value;datetime
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759248583622;70.4;2025-09-30 18:09:43.622000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759247383694;69.4;2025-09-30 17:49:43.694000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759246183750;72.3;2025-09-30 17:29:43.750000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759244983834;70.3;2025-09-30 17:09:43.834000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759243783873;73;2025-09-30 16:49:43.873000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759242583970;73.5;2025-09-30 16:29:43.970000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759241384027;71.2;2025-09-30 16:09:44.027000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759240184091;68.2;2025-09-30 15:49:44.091000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759238984132;67.9;2025-09-30 15:29:44.132000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759237784213;69.9;2025-09-30 15:09:44.213000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759236584310;68.6;2025-09-30 14:49:44.310000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759235384367;68.4;2025-09-30 14:29:44.367000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759234184427;67.7;2025-09-30 14:09:44.427000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759232984500;68;2025-09-30 13:49:44.500000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759231784586;68;2025-09-30 13:29:44.586000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759230584635;68.4;2025-09-30 13:09:44.635000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759229384734;67.4;2025-09-30 12:49:44.734000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759228184790;67.6;2025-09-30 12:29:44.790000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759226984930;67.2;2025-09-30 12:09:44.930000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759225784894;67.2;2025-09-30 11:49:44.894000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759224584955;66.2;2025-09-30 11:29:44.955000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759223385040;67;2025-09-30 11:09:45.040000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759222185206;66.6;2025-09-30 10:49:45.206000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759220985151;67.1;2025-09-30 10:29:45.151000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759219785256;68.4;2025-09-30 10:09:45.256000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759217385392;65.6;2025-09-30 09:29:45.392000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759216185398;66.1;2025-09-30 09:09:45.398000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759214985497;65.9;2025-09-30 08:49:45.497000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759213785560;68.9;2025-09-30 08:29:45.560000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759212585582;68.4;2025-09-30 08:09:45.582000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759210185726;65.6;2025-09-30 07:29:45.726000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759208985801;65.3;2025-09-30 07:09:45.801000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759207785883;66.5;2025-09-30 06:49:45.883000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759206585936;66.3;2025-09-30 06:29:45.936000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759205385942;66.4;2025-09-30 06:09:45.942000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759204186031;67;2025-09-30 05:49:46.031000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759202986090;67.1;2025-09-30 05:29:46.090000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759201786137;67.5;2025-09-30 05:09:46.137000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759200586231;68.2;2025-09-30 04:49:46.231000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759199386295;64.8;2025-09-30 04:29:46.295000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759198186340;67.7;2025-09-30 04:09:46.340000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759196986445;68.4;2025-09-30 03:49:46.445000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759195786376;63.7;2025-09-30 03:29:46.376000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759194586538;67.8;2025-09-30 03:09:46.538000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759193386583;67.6;2025-09-30 02:49:46.583000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759192186632;66.4;2025-09-30 02:29:46.632000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759190986700;68.1;2025-09-30 02:09:46.700000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759189786778;66.5;2025-09-30 01:49:46.778000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759188586815;69;2025-09-30 01:29:46.815000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759187386868;67.3;2025-09-30 01:09:46.868000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759186186958;69;2025-09-30 00:49:46.958000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759184987020;68.6;2025-09-30 00:29:47.020000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759183787083;69.6;2025-09-30 00:09:47.083000+02:00
a4d4afc0-6eb6-11ef-b667-951a94d6009e;temperature;1759253380607;32;2025-09-30 19:29:40.607000+02:00
a4d4afc0-6eb6-11ef-b667-951a94d6009e;temperature;1759252180862;31.9;2025-09-30 19:09:40.862000+02:00
a4d4afc0-6eb6-11ef-b667-951a94d6009e;temperature;1759250981114;31.8;2025-09-30 18:49:41.114000+02:00
a4d4afc0-6eb6-11ef-b667-951a94d6009e;temperature;1759249781399;31.7;2025-09-30 18:29:41.399000+02:00
a4d4afc0-6eb6-11ef-b667-951a94d6009e;temperature;1759248581658;31.9;2025-09-30 18:09:41.658000+02:00
a4d4afc0-6eb6-11ef-b667-951a94d6009e;temperature;1759247381913;31.8;2025-09-30 17:49:41.913000+02:00
a4d4afc0-6eb6-11ef-b667-951a94d6009e;temperature;1759246182185;31.7;2025-09-30 17:29:42.185000+02:00
a4d4afc0-6eb6-11ef-b667-951a94d6009e;temperature;1759244982443;31.7;2025-09-30 17:09:42.443000+02:00
a4d4afc0-6eb6-11ef-b667-951a94d6009e;temperature;1759243782721;31.9;2025-09-30 16:49:42.721000+02:00
a4d4afc0-6eb6-11ef-b667-951a94d6009e;temperature;1759242582978;31.7;2025-09-30 16:29:42.978000+02:00
a4d4afc0-6eb6-11ef-b667-951a94d6009e;temperature;1759241383243;30.5;2025-09-30 16:09:43.243000+02:00
a4d4afc0-6eb6-11ef-b667-951a94d6009e;temperature;1759240183513;29.9;2025-09-30 15:49:43.513000+02:00
a4d4afc0-6eb6-11ef-b667-951a94d6009e;temperature;1759238983745;30.1;2025-09-30 15:29:43.745000+02:00
a4d4afc0-6eb6-11ef-b667-951a94d6009e;temperature;1759237784027;30;2025-09-30 15:09:44.027000+02:00
